y,x
12.83,1
11.04,1
9.92,1
6.93,1
12.27,1
13.44,1
12.28,1
9.73,1
9.47,1
10.8,1
10.87,1
11.84,1
13.49,1
13.23,1
11.7,1
8.81,1
9.3,1
8.65,1
13.1,1
7.72,1
6,2
8.39,2
9.72,2
8.76,2
9.38,2
7.33,2
6.6,2
4.56,2
7.89,2
10.66,2
8.37,2
10.81,2
8.88,2
8.43,2
6.32,2
8.35,2
6.03,2
10.21,2
5.99,2
6.79,2
10.47,2
6.66,2
10.24,2
7.65,2
7.25,2
7.27,2
9.76,2
5,2
5.02,2
9.05,2
12.5,3
14.16,3
11.65,3
11.66,3
12.25,3
8.59,3
9.66,3
10.27,3
9.89,3
13.01,3
12.45,3
12.96,3
12.41,3
12.22,3
7,3
13.22,4
8.36,4
12.16,4
12.96,4
10.52,4
14.89,4
12.65,4
11.29,4
13.1,4
12.9,4
14.46,4
13.93,4
15.12,4
11.37,4
10.17,4
15.11,4
11.2,4
12.88,4
13.56,4
9.04,4
13.03,4
10.35,4
10.27,4
17.16,4
8.79,4
8.14,5
6.73,5
12.29,5
8.25,5
9.68,5
11.02,5
12.37,5
13.33,5
7.12,5
10.14,5
